scenario,description,appendix,domain,R_cm,frame,role,t_end_h,reached,mass_resid_rel
L00,附录3 + 固定R（Lagrangian）,3,固定,2.0000,lagrange,control,56.9740,True,3.616e-14
L10,附录4 + 固定R（Lagrangian）,4,固定,2.0000,lagrange,control,128.9063,True,6.704e-14
L01,附录3 + 收缩R(t)（Lagrangian）,3,R(t),,lagrange,control,25.0882,True,1.861e-14
L11,附录4 + 收缩R(t)（主用 Lagrangian）,4,R(t),,lagrange,deliverable,50.7803,True,4.304e-14
E00,附录3 + 固定R（Eulerian）,3,固定,2.0000,landau,control,56.7087,True,3.600e-15
E10,附录4 + 固定R（Eulerian）,4,固定,2.0000,landau,control,128.5937,True,2.202e-15
E01,附录3 + 收缩R(t)（Eulerian χ=0）,3,R(t),,landau,control,25.7728,True,2.950e-15
E11,附录4 + 收缩R(t)（Eulerian χ=0 交叉验证）,4,R(t),,landau,control,52.1896,True,3.435e-15

# Lagrangian 2x2 因子设计（交付分解）
quantity,value_h
t00 附录3+固定,56.9740
t10 附录4+固定,128.9063
t01 附录3+收缩,25.0882
t11 附录4+收缩（交付）,50.7803
交互项 I=t11-t10-t01+t00,-46.2401
物性 Shapley,48.8122
收缩 Shapley,-55.0059
净差 t11-t00,-6.1937
路径A 先换物性,71.9322
路径A 再加收缩,-78.1260
路径B 先加收缩,-31.8859
路径B 再换物性,25.6921

# Eulerian 2x2（交叉对照，非交付）
E t00,56.7087
E t10,128.5937
E t01,25.7728
E t11 χ=0,52.1896
E 交互项 I,-45.4682
E 物性 Shapley,49.1509
E 收缩 Shapley,-53.6700
Lagrangian vs Eulerian 相对差,2.78%
