question,study,N,dt_s,t_end_h,selected
Q3,grid,40,1,57.00755707,False
Q3,grid,80,1,57.26943191,False
Q3,grid,160,1,57.39012359,False
Q3,grid,320,1,57.44199872,False
Q3,grid,640,1,57.46254873,False
Q3,grid,1280,1,57.46991302,False
Q3,grid,2560,1,57.47226331,True
Q4,grid,40,1,50.95825804,False
Q4,grid,80,1,51.03687180,False
Q4,grid,160,1,51.07041568,False
Q4,grid,320,1,51.08254851,False
Q4,grid,640,1,51.08632349,False
Q4,grid,1280,1,51.08736888,True
Q4,grid,2560,1,51.08764000,False
Q3,timestep,2560,1,57.47226331,False
Q3,timestep,2560,0.5,57.47182726,False
Q3,timestep,2560,0.25,57.47160923,True
Q4,timestep,1280,1,51.08736888,False
Q4,timestep,1280,0.5,51.08703959,False
Q4,timestep,1280,0.25,51.08687495,True
Q4,timestep,1280,0.125,51.08679262,False
