case_id,parameter,baseline_value,perturbed_value,N,dt_s,t_end_s,t_end_h,delta_h_vs_BASE,delta_percent_vs_BASE,C_max_end,C_center_end,C_surface_end,max_location,reached,event_each_step,mass_resid_rel,data_source
BASE,none,formal_Q3,formal_Q3,2560,0.25,206897.793228,57.47160923,0.0,0.0,0.15,0.15,0.05265943140400398,center,True,True,,formal_result
SA1+,h_m,8.0e-7 m/s,9.6e-7 m/s,2560,0.25,203155.39959421122,56.43205544283645,-1.0395537871635483,-1.8088127356992545,0.15,0.15,0.0522160097102107,center,True,True,2.036437122299526e-12,new_diagnostic_run
SA1-,h_m,8.0e-7 m/s,6.4e-7 m/s,2560,0.25,213006.30146913798,59.16841707476055,1.6968078447605492,2.952427933538393,0.15,0.15,0.05332480804198163,center,True,True,2.5571701552060205e-12,new_diagnostic_run
SA2+,h,25 W/(m^2 K),30 W/(m^2 K),2560,0.25,206850.87683262245,57.45857689795068,-0.013032332049320416,-0.022676121695436327,0.15,0.15,0.05265943140399343,center,True,True,2.317821843360258e-12,new_diagnostic_run
SA2-,h,25 W/(m^2 K),20 W/(m^2 K),2560,0.25,206968.7556257229,57.49132100714525,0.01971177714525396,0.03429828642237579,0.15,0.15,0.05265943140399236,center,True,True,2.371708752572181e-12,new_diagnostic_run
SA3+,D_prefactor,2.4e-3,2.88e-3,2560,0.25,176556.16005818802,49.04337779394112,-8.42823143605888,-14.665034699705902,0.15,0.15,0.05319170536631567,center,True,True,2.1563724229735883e-12,new_diagnostic_run
SA3-,D_prefactor,2.4e-3,1.92e-3,2560,0.25,252847.4650371334,70.23540695475928,12.763797724759286,22.20887477446277,0.15,0.15,0.05212733807357303,center,True,True,2.51299737014162e-12,new_diagnostic_run
SA4,T_air_plateau_after_4h,50.0000 C,50.0105 C,2560,0.25,206828.80097942502,57.45244471650695,-0.019164513493045376,-0.03334605338150434,0.15,0.15,0.05266046164015501,center,True,True,2.350486083895944e-12,new_diagnostic_run
SA5,C_air_plateau_after_4h,0.050000 kg/kg,0.049982 kg/kg,2560,0.25,206896.49245509238,57.471247904192325,-0.0003613258076740067,-0.0006287031327554958,0.15,0.15,0.05264144104779622,center,True,True,2.361518058090569e-12,new_diagnostic_run
SA6,surface_boundary_type,Robin_T_and_C,Dirichlet_T_and_C,2560,0.25,191853.5611872155,53.29265588533764,-4.178953344662361,-7.27133518732404,0.15,0.15,0.05,center,True,True,0.013836244269575679,new_diagnostic_run
SA8,latent_heat_sink,0 J/kg,2.4e6 J/kg,2560,0.25,228307.88854894298,63.418857930261936,5.947248700261937,10.348150643322326,0.15,0.15,0.052637922062187883,center,True,True,2.6129203054618707e-12,new_diagnostic_run
SA7,chi_closure_Q4,chi=1; t_end_h=51.08687495,chi=0; t_end_h=52.647601348193,1280,0.25,189531.36485349,52.647601348193,1.5607263981929975,3.055043785161099,0.15,0.15,0.0526202446719,center,True,True,,q4_crosscheck
SA10a,C_th,0.15 kg/kg,0.16 kg/kg,2560,0.25,177322.61585960048,49.25628218322235,-8.215327046777645,-14.29458328528805,0.16,0.16,0.05355377443734493,center,True,not_applicable_postprocess_60s,,postprocess_result3
SA10b,C_th,0.15 kg/kg,0.2 kg/kg,2560,0.25,113430.38991031203,31.508441641753343,-25.963167588246655,-45.175640522510314,0.2,0.2,0.05883516956837397,center,True,not_applicable_postprocess_60s,,postprocess_result3
