t_h,Cbar,V_over_V0,beta
0.0000,2.550000,1.000000,
0.0167,2.539198,0.994994,0.463475
0.0333,2.529616,0.990042,0.488530
0.0500,2.520664,0.985145,0.506361
0.0667,2.512159,0.980305,0.520461
0.0833,2.504003,0.975522,0.532166
0.1000,2.496133,0.970797,0.542126
0.1167,2.488504,0.966132,0.550739
0.1333,2.481082,0.961526,0.558263
0.1500,2.473843,0.956981,0.564881
0.1667,2.466766,0.952497,0.570715
0.1833,2.459832,0.948076,0.575858
0.2000,2.453026,0.943718,0.580380
0.2167,2.446336,0.939425,0.584345
0.2333,2.439752,0.935196,0.587806
0.2500,2.433267,0.931033,0.590808
0.2667,2.426870,0.926937,0.593383
0.2833,2.420555,0.922908,0.595559
0.3000,2.414317,0.918947,0.597367
0.3167,2.408148,0.915056,0.598823
0.3333,2.402044,0.911234,0.599949
0.3500,2.396001,0.907483,0.600763
0.3667,2.390013,0.903803,0.601280
0.3833,2.384079,0.900196,0.601516
0.4000,2.378193,0.896661,0.601482
0.4167,2.372354,0.893201,0.601191
0.4333,2.366559,0.889815,0.600658
0.4500,2.360807,0.886504,0.599893
0.4667,2.355094,0.883270,0.598905
0.4833,2.349419,0.880112,0.597702
0.5000,2.343779,0.877032,0.596290
0.5167,2.338171,0.874037,0.594644
0.5333,2.332595,0.871131,0.592763
0.5500,2.327051,0.868306,0.590689
0.5667,2.321536,0.865560,0.588453
0.5833,2.316049,0.862885,0.586085
0.6000,2.310590,0.860277,0.583613
0.6167,2.305157,0.857731,0.581064
0.6333,2.299750,0.855241,0.578459
0.6500,2.294366,0.852802,0.575815
0.6667,2.289004,0.850409,0.573153
0.6833,2.283664,0.848058,0.570491
0.7000,2.278345,0.845742,0.567845
0.7167,2.273047,0.843457,0.565231
0.7333,2.267769,0.841199,0.562664
0.7500,2.262509,0.838961,0.560153
0.7667,2.257267,0.836739,0.557713
0.7833,2.252044,0.834528,0.555357
0.8000,2.246839,0.832324,0.553093
0.8167,2.241651,0.830121,0.550932
0.8333,2.236480,0.827914,0.548883
0.8500,2.231325,0.825699,0.546955
0.8667,2.226186,0.823471,0.545155
0.8833,2.221062,0.821225,0.543490
0.9000,2.215951,0.818957,0.541966
0.9167,2.210854,0.816661,0.540591
0.9333,2.205770,0.814333,0.539369
0.9500,2.200698,0.811969,0.538306
0.9667,2.195638,0.809563,0.537409
0.9833,2.190591,0.807111,0.536684
