表1 温度(℃)  时间(s)\距离(cm),0,0.5,1,1.5,2
100,28.0001,28.0004,28.0043,28.0332,28.1803
300,28.0416,28.0643,28.1523,28.3690,28.8493
600,28.4550,28.5377,28.8054,29.3170,30.1659
900,29.3263,29.4601,29.8770,30.6173,31.7311
1200,30.5446,30.7115,31.2239,32.1138,33.4285
1500,31.9974,32.1883,32.7673,33.7472,35.1209
1800,33.5765,33.7731,34.3652,35.3630,36.7862

表2 水分浓度(kg/kg)  时间(s)\距离(cm),0,0.5,1,1.5,2
100,2.5500,2.5500,2.5500,2.5500,2.2555
300,2.5500,2.5500,2.5500,2.5490,2.0545
600,2.5500,2.5500,2.5500,2.5349,1.8789
900,2.5500,2.5500,2.5496,2.5044,1.7560
1200,2.5500,2.5500,2.5481,2.4646,1.6595
1500,2.5500,2.5499,2.5444,2.4208,1.5794
1800,2.5500,2.5497,2.5381,2.3757,1.5108
