表3 温度(℃)  时间(h)\距离(cm),0,0.5,1,1.5,2
0.5,32.1908,32.3836,32.9673,33.9620,35.4141
1,40.3817,40.5536,41.0606,41.8785,42.9980
1.5,45.8462,45.9343,46.1925,46.6047,47.1398
2,48.4498,48.4876,48.5980,48.7732,49.0031
2.5,49.4667,49.4789,49.5134,49.5653,49.6609
3,49.8495,49.8553,49.8745,49.9101,49.9664

表4 水分浓度(kg/kg)  时间(h)\距离(cm),0,0.5,1,1.5,2
0.5,2.5499,2.5488,2.5254,2.3260,1.6486
1,2.5255,2.4946,2.3578,2.0231,1.4710
1.5,2.3859,2.3255,2.1344,1.8020,1.3475
2,2.1708,2.1084,1.9236,1.6259,1.2310
2.5,1.9566,1.9006,1.7360,1.4720,1.1166
3,1.7662,1.7166,1.5702,1.3332,1.0080
